kode_wilayah,nama_wilayah,tahun,tpt,laju_pertumbuhan,jumlah_usia_produktif,total_penduduk_kelompok_umur,persentase_usia_produktif,kategori_kuadran
3510,Banyuwangi,2021,5.42,0.81,1097446,1622536,67.63769802334124,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3510,Banyuwangi,2022,5.26,0.79,1096367,1626064,67.42459091401076,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3510,Banyuwangi,2023,4.75,0.76,1094458,1629172,67.17878775230608,"Kuadran 4: Beban Ketenagakerjaan (Produktif Rendah, TPT Tinggi)"
3510,Banyuwangi,2024,4.03,0.72,1091840,1631847,66.9082334311979,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3510,Banyuwangi,2025,3.94,0.69,1088143,1634071,66.59092536370818,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3511,Bondowoso,2018,3.84,0.58,535805,772376,69.37100583135674,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3511,Bondowoso,2019,2.86,0.57,537205,776048,69.22316660825103,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3511,Bondowoso,2020,4.13,0.51,538251,779471,69.05337081174284,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3511,Bondowoso,2021,4.46,0.41,538952,782676,68.86016691453423,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3511,Bondowoso,2022,4.32,0.39,539334,785692,68.6444560973002,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3511,Bondowoso,2023,4.15,0.56,539325,788512,68.39781766162088,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3511,Bondowoso,2024,3.63,0.55,538986,791130,68.12862614235334,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3511,Bondowoso,2025,2.55,0.54,538138,793536,67.81519679006371,"Kuadran 3: Kondisi Stabil (Produktif Rendah, TPT Rendah)"
3512,Situbondo,2018,1.85,0.61,481975,679919,70.88712037757439,"Kuadran 1: Peluang Emas (Produktif Tinggi, TPT Rendah)"
3512,Situbondo,2019,2.77,0.59,483641,683274,70.78287773279827,"Kuadran 1: Peluang Emas (Produktif Tinggi, TPT Rendah)"
3512,Situbondo,2020,3.85,0.56,484992,686413,70.65600447543972,"Kuadran 1: Peluang Emas (Produktif Tinggi, TPT Rendah)"
3512,Situbondo,2021,3.68,0.46,486031,689361,70.50456872378913,"Kuadran 1: Peluang Emas (Produktif Tinggi, TPT Rendah)"
3512,Situbondo,2022,3.38,0.44,486799,692143,70.33214234630705,"Kuadran 1: Peluang Emas (Produktif Tinggi, TPT Rendah)"
3512,Situbondo,2023,3.27,0.58,487222,694754,70.12870742737717,"Kuadran 1: Peluang Emas (Produktif Tinggi, TPT Rendah)"
3512,Situbondo,2024,3.15,0.57,487329,697187,69.89932399772228,"Kuadran 1: Peluang Emas (Produktif Tinggi, TPT Rendah)"
3512,Situbondo,2025,3.02,0.56,486962,699434,69.6222945982037,"Kuadran 1: Peluang Emas (Produktif Tinggi, TPT Rendah)"
3513,Probolinggo,2018,4.0,0.72,812460,1161989,69.91976688247479,"Kuadran 1: Peluang Emas (Produktif Tinggi, TPT Rendah)"
3513,Probolinggo,2019,3.77,0.71,816418,1169101,69.83297422549464,"Kuadran 1: Peluang Emas (Produktif Tinggi, TPT Rendah)"
3513,Probolinggo,2020,4.86,0.49,819888,1175856,69.72690533534718,"Kuadran 2: Ancaman Pengangguran (Produktif Tinggi, TPT Tinggi)"
