kode_wilayah,kepadatan,semester,tahun
3573,7969.67,1,2024
3573,7969.67,2,2024
3573,7969.67,1,2025
3573,0.0,2,2025
3574,4179.87,1,2018
3574,4204.16,2,2018
3574,4236.47,1,2019
3574,4245.44,2,2019
3574,4262.31,1,2020
3574,4272.05,2,2020
3574,4274.67796012,1,2021
3574,4277.7307217223,2,2021
3574,4442.0,1,2022
3574,4445.65,2,2022
3574,4460.26,1,2023
3574,4473.0,2,2023
3574,4445.03,1,2024
3574,4445.03,2,2024
3574,4445.03,1,2025
3574,0.0,2,2025
3575,5897.87,1,2018
3575,5926.3,2,2018
3575,5965.06,1,2019
3575,5979.26,2,2019
3575,6003.09,1,2020
3575,5957.69,2,2020
3575,5960.3570416549,1,2021
3575,5967.6395579484,2,2021
3575,5416.0,1,2022
3575,5419.79,2,2022
3575,5446.23,1,2023
3575,5448.0,2,2023
3575,5466.62,1,2024
3575,5466.62,2,2024
3575,5466.62,1,2025
3575,0.0,2,2025
3576,8711.84,1,2018
3576,8732.6,2,2018
3576,8417.43,1,2019
3576,8436.13,2,2019
3576,8469.52,1,2020
3576,8486.58,2,2020
3576,8497.9356405586,1,2021
3576,8510.321797207,2,2021
3576,412.0,1,2022
3576,6959.94,2,2022
3576,6989.91,1,2023
3576,7013.0,2,2023
3576,7004.6,1,2024
3576,7004.6,2,2024
3576,7004.6,1,2025
3576,0.0,2,2025
3577,6068.51,1,2018
3577,6059.58,2,2018
3577,6090.74,1,2019
3577,6097.61,2,2019
3577,6115.89,1,2020
3577,6007.28,2,2020
3577,5932.8714622642,1,2021
3577,5939.0330188679,2,2021
3577,5580.0,1,2022
3577,5584.28,2,2022
3577,5590.7,1,2023
3577,5607.0,2,2023
3577,5586.88,1,2024
3577,5586.88,2,2024
3577,5586.88,1,2025
3577,0.0,2,2025
3578,8314.0,1,2018
3578,8318.34,2,2018
3578,8392.71,1,2019
3578,8416.24,2,2019
3578,8441.5,1,2020
3578,8474.72,2,2020
3578,8475.0470702345,1,2021
3578,8475.3580190563,2,2021
3578,8867.0,1,2022
3578,8911.55,2,2022
3578,8930.66,1,2023
3578,8958.0,2,2023
3578,8982.17,1,2024
3578,8982.17,2,2024
3578,8982.17,1,2025
3578,0.0,2,2025
3579,1522.15,1,2018
3579,1535.27,2,2018
3579,1547.29,1,2019
3579,1552.55,2,2019
3579,1558.73,1,2020
3579,1563.6,2,2020
3579,1574.1407049876,1,2021
3579,1575.2084247477,2,2021
3579,1113.0,1,2022
3579,1122.06,2,2022
3579,1130.66,1,2023
3579,1142.0,2,2023
3579,1151.57,1,2024
3579,1151.57,2,2024
3579,1151.57,1,2025
3579,0.0,2,2025
