kode_wilayah,nama_wilayah,tipe_wilayah,jumlah_penduduk,laju_pertumbuhan,persentase_penduduk,kepadatan_bps,rasio_jenis_kelamin,tahun,jumlah_penduduk_miskin,tpt,ipm,kepadatan_sipil_smt1,kepadatan_sipil_smt2,kepadatan_sipil_tahunan
3522,Bojonegoro,Kabupaten,1247.0,0.37,1.51,567.0,97.8,2018,163.94,4.11,67.85,602.49,602.94,602.715
3522,Bojonegoro,Kabupaten,1250.0,0.36,3.15,568.0,97.8,2019,154.64,3.56,68.75,605.41,607.53,606.47
3522,Bojonegoro,Kabupaten,1301.6,0.71,3.2,592.0,100.9,2020,161.1,4.92,70.18,609.96,611.09,610.5250000000001
3522,Bojonegoro,Kabupaten,1307.6,0.61,3.2,595.0,100.8,2021,166.52,4.82,70.7,611.1975222736,610.5330659135,610.86529409355
3522,Bojonegoro,Kabupaten,1315.1,0.59,3.2,569.0,100.8,2022,153.4,4.69,71.15,581.0,583.79,582.395
3522,Bojonegoro,Kabupaten,1319.6,0.5,3.18,571.0,100.7,2023,153.25,4.63,71.8,586.37,589.0,587.685
3522,Bojonegoro,Kabupaten,1325.3,0.48,3.17,573.0,100.6,2024,147.33,4.42,72.75,590.28,590.28,590.28
3522,Bojonegoro,Kabupaten,1330516.0,0.46,3.16,575.0,100.5,2025,144.9,3.9,73.74,590.28,0.0,590.28
3523,Tuban,Kabupaten,1168.0,0.54,1.7,637.0,97.7,2018,178.64,2.76,67.43,652.54,653.56,653.05
3523,Tuban,Kabupaten,1173.0,0.52,2.95,639.0,97.6,2019,170.8,2.7,68.37,659.66,660.5,660.0799999999999
3523,Tuban,Kabupaten,1198.0,0.67,2.95,653.0,99.8,2020,187.13,4.81,69.6,663.14,664.95,664.0450000000001
3523,Tuban,Kabupaten,1203.1,0.57,2.94,656.0,99.7,2021,192.58,4.68,70.1,666.9340021263,667.0217812066,666.97789166645
3523,Tuban,Kabupaten,1209.5,0.55,2.94,613.0,99.7,2022,178.05,4.54,70.79,621.0,630.86,625.9300000000001
3523,Tuban,Kabupaten,1218.6,0.62,2.93,617.0,99.7,2023,177.25,4.4,71.4,633.2,638.0,635.6
3523,Tuban,Kabupaten,1225.2,0.6,2.93,621.0,99.7,2024,171.24,4.28,72.31,639.32,639.32,639.32
3523,Tuban,Kabupaten,1231374.0,0.58,2.93,624.0,99.6,2025,168.86,3.44,73.15,639.32,0.0,639.32
3524,Lamongan,Kabupaten,1189.0,0.1,1.78,667.0,94.5,2018,164.0,3.1,71.97,763.34,763.9,763.62
3524,Lamongan,Kabupaten,1189.0,0.09,3.0,667.0,94.5,2019,157.11,3.89,72.57,768.27,770.68,769.4749999999999
3524,Lamongan,Kabupaten,1344.2,1.28,3.31,754.0,100.2,2020,164.68,5.13,73.44,772.79,774.18,773.4849999999999
3524,Lamongan,Kabupaten,1356.0,1.18,3.32,761.0,100.1,2021,166.82,4.9,73.97,774.2380965742,774.4704132881,774.35425493115
3524,Lamongan,Kabupaten,1371.5,1.16,3.33,783.0,100.1,2022,151.08,6.05,74.83,788.0,788.33,788.165
3524,Lamongan,Kabupaten,1369.5,0.68,3.3,781.0,100.1,2023,149.94,5.46,75.29,789.19,791.0,790.095
3524,Lamongan,Kabupaten,1378.2,0.67,3.3,786.0,100.0,2024,146.98,4.34,75.9,779.03,779.03,779.03
3524,Lamongan,Kabupaten,1386390.0,0.65,3.29,791.0,99.9,2025,145.45,4.29,76.81,779.03,0.0,779.03
3525,Gresik,Kabupaten,1299.0,1.23,2.91,1090.0,98.4,2018,154.02,5.71,75.28,1061.41,1062.13,1061.77
3525,Gresik,Kabupaten,1313.0,1.21,3.31,1102.0,98.4,2019,148.61,5.4,76.1,1067.63,1070.36,1068.995
3525,Gresik,Kabupaten,1311.2,1.05,3.22,1101.0,101.4,2020,164.05,8.21,76.59,1074.65,1077.71,1076.18
3525,Gresik,Kabupaten,1320.6,0.95,3.23,1109.0,101.4,2021,166.35,8.0,76.98,1077.8266526758,1077.9920251836,1077.9093389297
3525,Gresik,Kabupaten,1332.7,0.93,3.24,1061.0,101.4,2022,149.64,7.84,77.62,1025.0,1030.59,1027.795
3525,Gresik,Kabupaten,1350.4,1.08,3.25,1075.0,101.4,2023,149.75,6.82,78.44,1032.1,1038.0,1035.05
3525,Gresik,Kabupaten,1364.0,1.06,3.26,1086.0,101.4,2024,142.39,6.45,78.93,1042.03,1042.03,1042.03
3525,Gresik,Kabupaten,1377287.0,1.04,3.27,1096.0,101.3,2025,138.55,5.47,79.69,1042.03,0.0,1042.03
3526,Bangkalan,Kabupaten,979.0,0.95,2.61,978.0,91.5,2018,191.33,5.09,62.87,1065.59,1065.36,1065.475
