Kabupaten_Kota,Jumlah_Penduduk,Laju_Pertumbuhan,Persentase_Penduduk,Kepadatan,Rasio_Jenis_Kelamin,Tahun
Lamongan,1386390.0,0.65,3.29,791.0,99.9,2025
Gresik,1377287.0,1.04,3.27,1096.0,101.3,2025
Bangkalan,1112956.0,1.02,2.64,855.0,97.7,2025
Sampang,1027538.0,1.23,2.44,837.0,98.8,2025
Pamekasan,893327.0,1.05,2.12,1123.0,96.9,2025
Sumenep,1159397.0,0.65,2.75,556.0,94.1,2025
Kota Kediri,301202.0,1.04,0.72,4480.0,100.6,2025
Kota Blitar,156330.0,0.99,0.37,4709.0,98.3,2025
Kota Malang,879873.0,0.88,2.09,7921.0,98.7,2025
Kota Probolinggo,252085.0,1.07,0.6,4610.0,98.6,2025
Kota Pasuruan,222334.0,1.41,0.53,5701.0,100.0,2025
Kota Mojokerto,138613.0,0.96,0.33,6855.0,98.1,2025
Kota Madiun,203552.0,0.89,0.48,5634.0,95.9,2025
Kota Surabaya,2931611.0,0.42,6.97,8727.0,97.9,2025
Kota Batu,225120.0,1.17,0.53,1159.0,101.2,2025
Keterangan,,,,,,2025
