kabupaten/kota,kelompok_umur,laki-laki,perempuan,total
Kabupaten MOJOKERTO,5-9,40932,41320,82252
Kabupaten MOJOKERTO,10-14,38766,38449,77215
Kabupaten MOJOKERTO,15-19,43431,41372,84803
Kabupaten MOJOKERTO,20-24,41493,40928,82421
Kabupaten MOJOKERTO,25-29,45732,44529,90261
Kabupaten MOJOKERTO,30-34,43076,43138,86214
Kabupaten MOJOKERTO,35-39,45066,43719,88785
Kabupaten MOJOKERTO,40-44,46347,42630,88977
Kabupaten MOJOKERTO,45-49,43132,45223,88355
Kabupaten MOJOKERTO,50-54,37711,41663,79374
Kabupaten MOJOKERTO,55-59,32825,30305,63130
Kabupaten MOJOKERTO,60-64,26837,24925,51762
Kabupaten MOJOKERTO,65-69,20736,25772,46508
Kabupaten MOJOKERTO,70-74,12756,14590,27346
Kabupaten MOJOKERTO,75+,11796,16303,28099
Kabupaten JOMBANG,0-4,50548,43825,94373
Kabupaten JOMBANG,5-9,43547,46518,90065
Kabupaten JOMBANG,10-14,48572,44430,93002
Kabupaten JOMBANG,15-19,46563,47477,94040
Kabupaten JOMBANG,20-24,45269,39868,85137
Kabupaten JOMBANG,25-29,45827,49639,95466
Kabupaten JOMBANG,30-34,45947,45773,91720
Kabupaten JOMBANG,35-39,46886,44793,91679
Kabupaten JOMBANG,40-44,47427,49836,97263
Kabupaten JOMBANG,45-49,46801,45439,92240
Kabupaten JOMBANG,50-54,43211,47496,90707
Kabupaten JOMBANG,55-59,36300,34776,71076
Kabupaten JOMBANG,60-64,29978,34619,64597
Kabupaten JOMBANG,65-69,25945,25363,51308
Kabupaten JOMBANG,70-74,19798,20933,40731
Kabupaten JOMBANG,75+,13321,22100,35421
Kabupaten NGANJUK,0-4,34173,36899,71072
Kabupaten NGANJUK,5-9,38161,34027,72188
Kabupaten NGANJUK,10-14,39147,33233,72380
Kabupaten NGANJUK,15-19,33325,36098,69423
Kabupaten NGANJUK,20-24,33574,31831,65405
